Designator,Mid X,Mid Y,Rotation,Layer
S68,100.0125,-133.35,0.0,top
S69,119.0625,-133.35,0.0,top
S7,152.4,-57.15,0.0,top
S70,138.1125,-133.35,0.0,top
S71,157.1625,-133.35,0.0,top
S72,176.2125,-133.35,0.0,top
S73,195.2625,-133.35,0.0,top
S74,214.3125,-133.35,0.0,top
S75,233.3625,-133.35,0.0,top
S76,252.4125,-133.35,0.0,top
S77,288.13125,-133.35,0.0,top
S78,347.6625,-133.35,0.0,top
S79,42.8625,-152.4,0.0,top
S8,171.45,-57.15,0.0,top
S80,66.675,-152.4,0.0,top
S81,90.4875,-152.4,0.0,top
S82,171.45,-152.4,0.0,top
S83,252.4125,-152.4,0.0,top
S84,276.225,-152.4,0.0,top
S85,300.0375,-152.4,0.0,top
S86,328.6125,-152.4,0.0,top
S87,347.6625,-152.4,0.0,top
S88,366.7125,-152.4,0.0,top
S9,190.5,-57.15,0.0,top
U1,370.325,-128.875,180.0,top
